voltage,ax,ay,az,gx,gy,gz

6.557703,0.962524,-0.607788,0.826660,-10.986328,-128.662109,-8.117676
-31.540540,0.980225,-0.229370,1.522827,-59.082031,-135.925293,1.220703
-53.278967,0.628540,-0.313354,2.109131,-45.043945,-124.389648,-2.075195
-36.106238,0.354858,-0.286743,1.530029,76.416016,-113.830566,5.004883
-35.872595,0.286255,-0.198975,1.269531,95.397949,-97.595215,17.456055
-40.131335,0.041870,0.056885,1.344238,27.832031,-69.335938,20.935059
-61.292102,-0.165161,0.137451,1.623535,-25.268555,-32.592773,12.390137
-46.172205,0.058472,0.303711,1.589722,6.591797,2.746582,3.295898
-45.706531,0.049316,0.282227,1.545166,-53.894043,25.085449,-14.099121
-65.525061,0.285034,0.188354,1.691528,-30.761719,58.532715,-34.301758
-80.922913,0.690430,0.380127,1.842163,1.464844,103.515625,-42.724609
-78.813684,1.322754,0.291016,1.864380,-4.211426,145.080566,-55.419922
-47.889075,1.522339,0.159668,1.537476,-23.376465,150.451660,-70.617676
-16.729211,1.357544,-0.034424,1.295898,-41.198730,147.949219,-76.293945
20.676965,0.914917,-0.118774,0.807129,-22.399902,130.615234,-72.937012
48.590808,0.478271,-0.276245,0.394775,-16.052246,103.942871,-70.007324
52.632019,0.240356,-0.252075,0.168701,12.268066,73.303223,-55.175781
50.030530,0.059082,-0.272583,0.157349,23.315430,52.917480,-48.217773
46.061829,-0.021240,-0.211792,0.269409,8.422852,35.583496,-44.006348
35.553552,-0.262939,-0.410278,0.451172,18.676758,7.873535,-46.203613
16.068567,-0.223145,-0.363037,0.612183,27.282715,-5.737305,-59.875488
2.660706,-0.038452,-0.529541,0.823975,12.939453,-12.145996,-68.115234
20.673743,-0.118286,-0.542847,0.662109,24.230957,-10.437012,-75.256348
39.905750,-0.405518,-0.564575,0.538208,0.549316,-25.817871,-87.280273
34.373254,-0.312012,-0.713623,0.460571,26.611328,-48.461914,-107.360840
5.517590,-0.003296,-0.668823,0.744263,83.251953,-72.204590,-105.224609
-13.980286,0.133545,-0.197144,1.147705,88.256836,-85.876465,-73.120117
-8.931995,0.075684,-0.048584,1.091675,60.913086,-85.083008,-60.791016
-9.943909,0.022827,-0.251221,0.989624,36.132812,-81.909180,-61.889648
-8.872375,-0.040405,-0.067993,0.885620,33.264160,-71.044922,-61.523438
-25.029163,-0.318970,0.196777,1.101196,-2.014160,-49.682617,-51.147461
-69.094153,-0.163574,0.498291,1.486816,-13.793945,-3.845215,-48.767090
-87.214343,0.110718,0.602295,2.130005,-27.893066,48.522949,-50.903320
-90.193689,0.663452,0.334595,2.095459,3.845215,86.791992,-60.607910
-79.957727,0.921997,0.546875,2.034058,-0.732422,115.051270,-69.213867
-62.648035,0.992676,0.376343,1.711426,-24.414062,137.695312,-77.148438
-35.826672,0.854614,-0.018677,1.409546,-28.686523,136.901855,-74.768066
-4.798938,0.719482,-0.041138,1.022217,-13.793945,125.732422,-67.932129
24.217053,0.339478,-0.039062,0.744629,-16.113281,104.675293,-60.424805
41.682239,0.140991,-0.206055,0.341675,-24.047852,78.979492,-53.344727
52.349231,-0.031738,-0.296631,0.139404,-12.084961,57.861328,-42.785645
62.276624,-0.158203,-0.297241,-0.010864,-3.723145,45.532227,-30.578613
