voltage,ax,ay,az,gx,gy,gz

-9.058081,0.350586,0.136230,1.059692,-123.229980,15.808105,-12.207031
-27.834082,0.174927,-0.425903,0.888794,-8.789062,17.333984,-1.647949
-38.551025,0.249634,0.014160,0.680786,71.411133,5.249023,-15.136719
-43.931250,0.159058,0.001953,0.847656,-44.738770,-7.263184,-11.474609
-47.556738,0.135132,-0.078857,0.950073,9.704590,-13.549805,-11.474609
-51.871069,0.264893,0.082886,0.877441,-30.822754,-16.723633,-13.610840
-51.251514,0.179077,-0.125122,0.953979,-23.620605,-9.582520,-17.517090
-50.544141,0.213745,-0.118408,0.952881,26.184082,-7.873535,-6.591797
-46.986328,0.177612,-0.056152,0.898315,78.979492,-9.704590,-2.807617
-59.410474,0.258057,-0.027466,1.205933,11.108398,-19.836426,-6.713867
-57.475269,0.286377,0.190674,1.225708,28.015137,-14.038086,2.319336
-54.296118,0.157471,0.136719,1.164795,25.207520,-8.544922,18.066406
-58.083545,0.158203,0.074463,1.119263,16.967773,-8.789062,26.062012
-67.924731,0.371338,0.043701,1.137329,-19.287109,-10.498047,28.198242
-69.538477,0.532104,0.064575,1.142944,-1.892090,-4.089355,24.841309
-65.597168,0.467285,0.135254,1.181030,3.540039,0.854492,20.874023
-60.486035,0.414307,0.155151,1.130371,12.268066,5.249023,20.996094
-58.315576,0.372437,0.139893,1.074951,-4.577637,13.122559,20.080566
-62.768481,0.373291,0.053589,1.127075,-16.418457,23.681641,16.052246
-64.423315,0.287964,0.005493,1.126709,25.939941,37.536621,10.986328
-53.854614,0.203491,0.140991,0.994995,24.169922,46.264648,5.126953
-44.170532,-0.065063,0.082764,0.782715,-47.241211,38.635254,10.253906
-39.799805,0.076172,-0.068848,0.899414,-42.297363,38.330078,14.831543
-35.010937,0.135620,-0.081055,0.829956,34.973145,31.372070,18.554688
-26.107544,-0.013794,0.024902,0.669434,47.668457,24.902344,16.723633
-15.994043,-0.201782,0.095825,0.405762,8.544922,13.854980,9.582520
-20.389746,-0.248535,0.193726,0.517700,-83.923340,-9.765625,7.263184
-30.058521,0.134155,0.036499,0.870117,-169.250488,-45.043945,8.911133
-40.644141,0.450073,-0.345093,0.939941,-49.438477,-48.889160,4.333496
-45.499072,0.456299,-0.181763,0.689575,118.469238,-56.701660,15.197754
-33.442310,0.378296,0.047363,0.579834,50.903320,-63.415527,24.536133
-35.322729,0.432129,-0.132935,0.767578,-13.916016,-73.303223,22.583008
-44.012622,0.471558,-0.112793,0.882812,58.898926,-71.838379,28.991699
-59.866479,0.640625,0.104126,1.060913,78.979492,-68.786621,42.541504
-84.933105,0.982910,0.131958,1.353760,24.719238,-61.218262,53.161621
-90.234375,1.042725,-0.027588,1.427490,71.594238,-27.954102,51.208496
-113.290063,0.851685,0.175903,1.514648,75.317383,22.521973,34.729004
-125.653784,0.715210,0.113159,1.692261,29.541016,74.707031,11.291504
-110.023096,0.623901,0.116943,1.625488,15.258789,120.117188,-9.765625
-83.124390,0.660522,0.195679,1.360352,33.203125,144.897461,-17.333984
-37.770337,0.452026,0.150024,0.893799,45.593262,135.253906,-17.517090
-8.734204,0.388428,0.038940,0.497559,138.732910,106.933594,-18.066406
3.445825,0.075928,-0.019165,0.148926,276.367188,61.340332,-21.118164
7.628833,-0.070557,0.107788,-0.004150,298.828125,17.639160,-5.065918
6.669287,-0.273682,0.414062,0.043701,172.851562,-6.958008,16.967773
13.516626,-0.266846,0.745239,-0.247314,-117.492676,-14.221191,43.273926
6.906958,-0.229736,0.550171,-0.142578,-273.315430,-38.208008,44.372559
-6.518628,0.235718,1.104126,0.322754,-8.117676,-76.599121,25.146484
-21.143042,0.424927,1.030151,0.450806,-113.952637,-88.562012,1.647949
-41.255640,0.613281,0.719482,0.810059,-114.318848,-87.036133,-37.353516
-46.175024,0.564575,0.647705,0.944092,-4.333496,-74.645996,-65.368652
-48.015161,0.689697,0.716797,0.826294,21.240234,-67.199707,-70.007324
-50.661768,0.682129,0.531006,0.903564,-14.648438,-57.739258,-67.871094
-64.062378,0.600830,0.167725,1.076050,13.366699,-45.288086,-52.673340
-75.207935,0.511230,0.119629,1.150635,59.753418,-25.817871,-20.446777
-78.582056,0.461792,0.055908,1.276245,28.625488,0.244141,4.516602
-81.853857,0.384521,0.242310,1.343872,69.702148,26.184082,25.573730
-73.851196,0.493774,0.370117,1.166870,-3.479004,53.222656,48.339844
-63.986646,0.695190,0.063965,1.028076,-7.202148,69.824219,77.331543
-56.577759,0.898682,0.412598,0.931641,-42.724609,73.852539,110.412598
-51.923437,1.176514,0.586060,0.843872,-145.202637,53.344727,125.122070
-50.615039,1.305298,0.589355,0.879272,-154.663086,33.996582,116.455078
-29.874829,1.160522,0.659790,0.765381,-34.851074,33.630371,95.336914
-13.725293,0.924561,0.857178,0.530884,-63.415527,14.465332,64.697266
-9.891943,0.805054,0.630859,0.441406,-69.702148,-9.033203,34.606934
-19.516406,0.738403,0.399658,0.521851,-49.804688,-20.080566,11.718750
-18.195923,0.628784,0.181274,0.619141,31.188965,-22.521973,-5.615234
-19.389917,0.397583,0.041138,0.586914,51.086426,-32.226562,-18.676758
-32.990332,0.278687,-0.002686,0.660156,29.418945,-45.837402,-24.230957
-59.552271,0.108032,-0.083862,1.021729,-15.319824,-56.823730,-32.409668
-77.264795,0.023438,-0.378784,1.171631,-39.062500,-47.729492,-48.522949
-101.013354,-0.053711,-0.430542,1.586914,58.959961,-29.235840,-50.109863
-100.840137,0.206543,-0.004150,1.679443,23.193359,3.967285,-44.738770
-102.055078,0.335449,-0.060303,1.645386,7.141113,41.748047,-39.550781
-96.139893,0.667725,0.096436,1.449585,30.395508,64.575195,-34.362793
-93.663281,1.136475,0.319946,1.327026,-15.930176,92.895508,-31.250000
-71.722632,1.295044,0.334351,1.172363,-33.081055,91.735840,-31.250000
-48.875610,1.299072,0.209473,0.881592,-92.346191,81.359863,-22.094727
-20.934375,1.125977,-0.061035,0.645386,-12.756348,71.960449,-6.286621
-5.557471,0.991455,0.079956,0.358276,51.757812,49.804688,0.732422
-2.851245,0.769287,0.095947,0.279541,-29.846191,21.667480,4.699707
-0.211084,0.568115,-0.074219,0.280518,-56.396484,-2.746582,10.803223
-2.143872,0.369629,-0.228516,0.307739,-21.728516,-32.165527,18.859863
-10.513110,0.225708,-0.223511,0.421875,3.723145,-52.429199,31.494141
-19.115186,0.164551,-0.176514,0.733765,-1.037598,-78.002930,51.208496
-47.597827,0.307983,0.016357,0.832520,-28.808594,-96.496582,42.114258
-58.264819,0.463013,-0.143311,1.066895,-48.522949,-105.712891,38.269043
-76.682300,0.647461,-0.242310,1.261719,-14.587402,-99.487305,26.794434
-90.314136,0.420654,-0.224487,1.414185,41.076660,-75.805664,23.010254
-109.103833,0.238525,-0.044556,1.682007,-18.859863,-51.452637,15.197754
-128.882080,0.198975,-0.105469,1.824219,-12.268066,-5.126953,-5.249023
-116.802759,0.315674,0.023560,1.697632,37.475586,49.865723,-19.287109
-103.493188,0.497070,0.135986,1.551880,23.010254,84.777832,-31.738281
-92.718237,0.875977,0.078979,1.427246,20.324707,106.506348,-46.997070
-76.028906,1.127197,0.029053,1.225098,15.869141,114.562988,-56.640625
-46.164551,1.284180,-0.117798,0.864502,40.222168,106.689453,-60.180664
-18.087964,1.162354,-0.335571,0.671387,80.627441,83.068848,-54.077148
-9.634131,1.060913,-0.247681,0.382080,121.032715,49.072266,-30.029297
-4.469824,0.818848,-0.034302,0.329956,47.485352,23.071289,-4.028320
-0.092651,0.526611,0.017456,0.273560,-38.757324,-7.385254,16.967773
-6.551660,0.345825,-0.019897,0.364990,-82.580566,-40.527344,27.587891
-17.738306,0.312622,0.056396,0.547607,-20.812988,-65.368652,35.034180
-28.364209,0.316772,0.162231,0.737061,46.813965,-78.369141,42.419434
-48.405103,0.491455,0.345093,0.947754,30.822754,-91.552734,53.649902
-77.054517,0.680786,0.335693,1.333496,-6.774902,-93.139648,53.771973
-81.052222,0.696533,0.349365,1.378418,-30.944824,-77.941895,43.640137
-92.424976,0.371216,0.403809,1.414795,-16.235352,-55.358887,39.550781
-97.315356,0.080566,0.532715,1.514893,18.066406,-24.475098,31.372070
-96.628931,-0.128418,0.555054,1.479004,10.559082,8.544922,11.047363
-97.259766,0.001465,0.516846,1.490234,4.516602,36.926270,-9.826660
-101.270361,0.498413,0.572754,1.492798,3.540039,67.749023,-31.799316
-94.872583,0.792480,0.539062,1.430298,9.155273,99.243164,-47.607422
-83.251685,1.226929,0.565552,1.350708,34.118652,119.995117,-64.636230
-50.971143,1.313721,0.432739,1.086304,3.967285,111.267090,-73.181152
-16.819043,1.106323,0.079346,0.557373,-34.301758,82.763672,-57.495117
-0.084595,0.890625,-0.129639,0.318848,-11.779785,52.795410,-37.597656
10.230322,0.652832,-0.097290,0.166138,-12.634277,18.127441,-15.563965
7.307373,0.495361,-0.040527,0.176514,-41.503906,-15.136719,7.629395
-4.568921,0.484863,-0.014160,0.434937,-49.255371,-52.368164,22.094727
-19.034619,0.496826,0.023560,0.570312,-34.057617,-76.232910,25.573730
-34.720898,0.456909,0.020142,0.772461,-16.418457,-93.750000,24.841309
-45.197754,0.431519,-0.037720,0.903320,-36.132812,-107.910156,21.667480
-62.525977,0.391235,-0.093872,1.213501,-30.273438,-120.056152,17.761230
-75.259497,0.590088,0.074463,1.322876,1.403809,-110.168457,9.765625
-97.037402,0.541138,0.160400,1.524048,23.437500,-89.172363,-4.150391
-108.381152,0.327515,0.237793,1.691650,21.667480,-50.659180,-23.559570
-109.533252,0.120483,0.278809,1.660034,-18.615723,-14.526367,-40.405273
